Time,Distância mínima aos obstáculos,Distância à linha central,Pontos Detectados Frente,Pontos Detectados Tras,LINES,0,1,-1
13.888,1.70751,-2.60819,0,0,1,0,1,-1
13.956,1.67765,-2.61225,0,0,0,0,1,-1
14.024,1.70813,-2.61225,0,0,0,0,1,-1
14.089,1.71347,-2.60128,0,0,0,0,1,-1
14.237,1.72341,-2.58844,0,0,0,0,1,-1
14.326,1.75464,-2.56538,0,0,0,0,1,-1
14.388,1.76842,-2.50851,0,0,0,0,1,-1
14.456,1.78713,-2.39589,0,0,0,0,1,-1
14.525,1.84975,-2.39589,0,0,0,0,1,-1
14.588,1.90287,-2.37392,0,0,0,0,1,-1
14.622,1.95716,-2.20452,0,0,0,0,1,-1
14.688,2.06054,-2.07848,0,0,0,0,1,-1
14.758,2.18065,-1.82559,0,0,0,0,1,-1
14.856,2.34355,-1.5273,0,0,0,0,1,-1
14.925,2.4353,-1.5273,0,0,0,0,1,-1
14.988,2.6149,-1.32276,0,0,0,0,1,-1
15.088,2.83847,-1.11538,0,0,0,0,1,-1
15.154,2.95979,-1.04539,0,0,0,0,1,-1
15.221,3.07318,-1.04539,0,0,0,0,1,-1
15.287,3.29332,-0.840217,0,0,0,0,1,-1
15.356,3.4122,-0.733494,0,0,0,0,1,-1
15.426,3.55693,-0.733494,0,0,0,0,1,-1
15.49,3.61293,-0.659761,0,0,0,0,1,-1
15.587,3.67058,-0.588247,0,0,0,0,1,-1
15.657,3.70559,-0.549248,0,0,0,0,1,-1
15.72,3.75564,-0.549248,0,0,0,0,1,-1
15.857,3.86592,-0.384527,0,0,0,0,1,-1
15.921,3.94837,-0.262553,0,0,0,0,1,-1
16.021,4.06012,-0.117679,0,0,0,0,1,-1
16.089,4.00002,-0.00942659,0,0,0,0,1,-1
16.155,3.78391,0.229994,0,0,0,0,1,-1
16.221,3.55905,0.229994,0,0,0,0,1,-1
16.29,3.4191,0.503936,0,0,0,0,1,-1
16.356,3.27538,0.780327,0,0,0,0,1,-1
16.421,3.10823,0.780327,0,0,0,0,1,-1
16.488,2.89684,1.01708,0,0,1,0,1,-1
16.587,0.195542,1.24724,0,0,1,0,1,-1
16.688,0.372678,1.40961,0,0,1,0,1,-1
16.821,0.528544,1.53423,0,0,1,0,1,-1
16.92,0.724327,1.66025,0,0,1,0,1,-1
17.02,0.854114,1.79231,0,0,1,0,1,-1
17.088,0.912557,1.91279,0,0,1,0,1,-1
17.189,0.994051,1.95875,0,0,1,0,1,-1
17.26,1.0928,2.09295,0,0,1,0,1,-1
17.357,1.20185,2.16441,0,0,1,0,1,-1
17.421,1.21625,2.16441,0,0,1,0,1,-1
17.491,1.27294,2.22119,0,0,1,0,1,-1
17.587,1.33122,2.25572,0,0,1,0,1,-1
